,kwds
0,|54
1,"|53,|66"
2,"|53,|66"
3,"|D9,|83"
4,"|D9,|83"
5,"|EB,|81,|80,|E2"
6,"|EB,|81,|80,|E2"
7,"|eb,|81,|81"
8,"|eb,|81,|81"
9,"|33,|80,|eb"
10,"|33,|80,|eb"
11,"|eb,|5d,|8d,|75,|88"
12,"|eb,|5d,|8d,|75,|88"
13,"|eb,|80,|46"
14,"|eb,|80,|46"
15,"|eb,|80,|46"
16,"|eb,|80,|46"
17,"|01,|80,|40"
18,"|01,|80,|40"
19,"|80,|43,|73,|81"
20,"|80,|43,|73,|81"
21,"|31,|43"
22,"|31,|43"
23,"|5b,|80,|43"
24,"|5b,|80,|43"
25,"|8b,|89,|66"
26,"|8b,|89,|66"
27,"|31,|80,|43"
28,"|31,|80,|43"
29,"|eb,|80,|43"
30,"|eb,|80,|43"
31,"|31,|83,|80,|43"
32,"|31,|83,|80,|43"
33,"|31,|58,|40"
34,"|31,|58,|40"
35,"|89,|5b,|0f,|51"
36,"|89,|5b,|0f,|51"
37,"|50,|8b,|51"
38,"|50,|8b,|51"
39,"|58,|66"
40,"|58,|66"
41,/COM1/
42,/COM2/
43,/COM3/
44,/COM4/
45,/LPT1/
46,/LPT2/
47,/LPT3/
48,/LPT4/
49,/AUX/
50,/NULL/
51,"PASS,"
52,RETR
53,220
54,220
55,220
56,220
57,220
58,stdapi_fs_stat
59,stdapi_sys_process_get_processes
60,stdapi_sys_config_getuid
61,core_migrate
62,stdapi_net_config_get_interfaces
63,stdapi_sys_config_sysinfo
64,stdapi_net_config_get_route
65,stdapi_sys_process_kill
66,stdapi_fs_getwd
67,stdapi_sys_process_getpid
68,stdapi_sys_process_execute
69,stdapi_sys_power_exitwindows
70,stdapi_ui_get_idle_time
71,stdapi_fs_mkdir
72,stdapi_fs_delete_dir
73,stdapi_fs_chdir
74,stdapi_fs_ls
75,stdapi_sys_config_rev2self
76,stdapi_ui_enable_keyboard
77,stdapi_ui_enable_mouse
78,stdapi_fs_file_expand_path
79,stdapi_registry_create_key
80,core_channel_write
81,core_channel_interact
82,|40
83,c99shell
84,"|ff,|00"
85,"|00,|c0"
86,REGISTER
87,s|00|p|00|_|00|r|00|e|00|p|00|l|00|w|00|r|00|i|00|t|00|e|00|t|00|o|00|v|00|a|00|r|00|b|00|i|00|n
88,sp_replwritetovarbin
89,"|ff|SMB|72,""|"
90,JOIN
91,001
92,701
93,|17
94,|17
95,|41
96,|02
97,|02
98,|02
99,|02
100,|02
101,|02
102,MAIL
103,HELO
104,"SELECT,geometrycollectionfromwkb"
105,"SELECT,WHERE,SELECT,INTO,|60|,|60|"
106,"ALTER,DATABASE,|22|.,UPGRADE,DATA"
107,|17|
108,|97
109,|17|
110,|97
111,"|00,NETASCII"
112,"|00,""|0A|,NETASCII"
113,"|06|,""|0A|"
114,|4e
115,0000033000
116,|45
117,|45
118,|41
119,|61
120,|3f
121,M-SEARCH
122,"language,|65"
123,"""USER,SITE"
124,"""USER,RMDIR"
125,"""USER,MKDIR"
126,"""USER,PWD"
127,"""USER,RETR"
128,"""USER,NLST"
129,"""USER,RNTO"
130,"""USER,RNFR"
131,"""USER,STOR"
132,cwd
133,list
134,|B6
135,LIST
136,"NLST,|2a"
137,"|00,|01"
138,"|95,|78"
139,"|89,sPLT,""|00|"
140,"|45,|EB,|9e"
141,"|45,|23"
142,"|45,|5E,|48"
143,"|01,|20"
144,"RIFF,ACON,anih"
145,"|00|,|FF|SMB|32|,"
146,X-LINK2STATE
147,X-LSA-2
148,"X-LINK2STATE,CHUNK="
149,"|FF|SMB%,|2600|,|67157a76|"
150,"|FF|SMB%,&|00|,|5C,|05|,|0B|,|40"
151,"|FF|SMB%,&|00|,|5C,|05|,|0B|,|40"
152,"|FF|SMB%,&|00|,|5C,|36"
153,"|00|,|FF|SMB%,&|00|,|5C|PIPE|5C,|40"
154,"|00|,|FF|SMB%,&|00|,|5C|PIPE|5C,|36"
155,"|00|,|FF|SMB%,|03|,|01,|5C|MAILSLOT|5C|"
156,"|00|,|FF|SMB|25|,&|00|,|5C|PIPE|5C,|1f"
157,"|00|,|FF|SMB|25|,&|00|,|5C|PIPE|5C,|1f"
158,"|0B|,|C8"
159,"|1F,|C8,..|5C|..|5C|"
160,"|1F,|C8,../../"
161,"|1F,|C8,|00"
162,"|1F,|C8,|00"
163,"|0B|,|C8"
164,"|20,|C8,..|5C|..|5C|"
165,"|20,|C8,../../"
166,"|20,|C8,|00"
167,"|20,|C8,|00"
168,|00
169,"|0B|,|C8"
170,"|1F,|C8,|5C|..|5C|"
171,"|1F,|C8,/../"
172,"|1F,|C8,|00"
173,"|1F,|C8,|00"
174,"|0B|,|C8"
175,"|1F,|C8,..|5C|..|5C|"
176,"|1F,|C8,../../"
177,"|1F,|C8,|00"
178,"|1F,|C8,|00"
179,"|0B|,|C8"
180,"|20,|C8,|5C|..|5C|"
181,"|20,|C8,/../"
