,label,value
0,malicious,"PDF-,Launch,Win,.exe 1ff37474-c129-4908-8cf8-71333b7ce8a9 035b8726-73c8-4331-aae2-5239c8322355 f04880ce-c18b-49ab-b651-8285c9abe06a 9ce93e97-0b0f-4587-a26b-53b3039ff0cb fd8e5ccc-9f3d-4758-acd7-3ac07a3c7f0d a98c7744-b17e-42cd-adcd-f0ba56f5649b 31c9c08f-c25e-43de-a79c-98b4a3ec9411 bcb4d244-3b6f-4427-8d07-50b58c9c68ad a7ffe80d-7794-44a9-8c1b-65b431343b9c dd6ab10b-a21d-47de-a005-496957cae588 6a406e76-2a50-498d-8f9f-adf0d84e36fa fb9e0f88-5b65-4bcb-b48e-2dbba8cbf651 4f6375f7-310e-42e8-8a5a-b5b0ab5505f3"
1,malicious,"|1F,|C8,|00|62 |c6 |7f |e1 |b1 |60 |a5 |9b |e4 |0f |73 |e8 |9e |78 |26 |3d |62 |8f |88 |3c |28 |d6 |9d |c8 |fc |a3 |5c |06 |4c |c4 |44 |9d |9e |bc |07 |b0 |c1 |f5 |80 |86 |92 |de |d4 |13 |0b |46 |7e |db |9c |f7 |89 |55 |d0 |e9 |84 |59 |29 |8c |0a |8b |28 |62 |a6 |c0 |31 |8e |8d |db |bf |50 |c8 |60 |c5 |43 |63 |60 |15 |e7 |cf |c3 |34 |71 |a2 |08 |95 |2e |6a |44 |79 |c2 |a5 |62 |aa |89 |57 |20 |64 |68 |1c |dd |1e |1f |67 |f2 |d5 |b5 |24 |8c |c0 |cc |d7 |eb |64 |8e |6c |4d |01 |96 |9d |eb |51 |52 |f3 |95 |1b |"
2,malicious,"/rpt,User-Agent|3a|,""User-Agent|3 795391b9-a56f-4411-84de-de9e0139821b c9cd0345-c25f-49ae-b275-82ba3ccee4b5 421a2140-0359-4a3a-a3e1-e0d0b1bf8986 bc34a002-f2f4-429a-98c0-903a9cde2f70 596094cc-7297-4fad-bd20-e621d423d7ef e87d8d85-88be-4a22-9322-f717dad933e6 87e19fde-3b11-4cf0-8942-8d2d7fc43de7 5966a421-0035-40a9-a5ff-f602de95938d 1524ebd0-b8be-4da0-9e9d-77b09a1862c8 119e285b-81c4-4c14-8660-163224f00209 a8c316ff-a212-4f4d-89ac-40faed8dc2b1 27d059f1-6876-41cf-b3ce-b7086c8284b8 f3c6bdf8-6d5c-45b0-9a3a-2f93edcb60"
3,malicious,"|00|,|FF|SMB%,&|00|,|5C,|05|,|0B|,|01|56 |c2 |d9 |39 |fb |0d |cf |1f |06 |02 |c7 |bd |18 |85 |90 |c4 |02 |33 |52 |c0 |89 |8f |da |18 |4d |e9 |68 |ef |af |63 |51 |d4 |07 |bb |d2 |bc |55 |3d |62 |97 |d6 |db |32 |cc |39 |b3 |fe |7b |cb |10 |37 |83 |40 |88 |7f |46 |0d |cb |bc |e0 |10 |c0 |5f |89 |06 |b5 |23 |74 |7b |d9 |64 |2d |d1 |19 |4e |4c |57 |c5 |92 |0c |6c |d6 |09 |77 |8a |62 |0b |42 |9a |ef |a5 |9d |59 |02 |30 |60 |17 |73 |0b |99 |99 |40 |df |8d |cd |6d |1a |91 |06 |19 |0a |f0 |d1 |33 |b5 |14 |28 |7d |83"
4,malicious,sys.dbms_repcat_sna.set_local_flavor everyone focus very study various side hard significant these technology population seek despite wish choose raise example new minute little response his sister computer four beat financial exactly rock bed age several realize successful though seven care wrong machine majority more report act audience participant campaign dark inside thousand future life former few rock face effect suddenly hospital economy especially customer seem yet war around tax nor so thing see ch
5,malicious,|33|56 |c6 |54 |1c |85 |ee |59 |61 |bd |50 |c1 |fa |b1 |18 |c9 |48 |7a |f4 |0d |a0 |1c |7b |d5 |d8 |f9 |84 |e0 |22 |d0 |7a |49 |4e |bb |23 |d2 |5a |82 |b8 |10 |2c |49 |b2 |5c |02 |ac |0d |92 |22 |db |33 |1f |e8 |3a |27 |7b |a3 |ef |6d |b0 |e7 |5f |f3 |4d |f6 |a8 |89 |08 |8c |fc |19 |39 |d0 |40 |78 |8a |4e |9e |83 |cb |3f |3c |53 |38 |8a |0c |5f |28 |06 |14 |3e |c2 |45 |9b |99 |6f |b2 |cd |6b |cc |15 |66 |7c |87 |3e |11 |a3 |cd |51 |78 |1d |80 |b8 |dc |d4 |4c |d2 |ca |ab |76 |7c |49 |07 |45 |c6 |30 |a4 |42 |
6,malicious,"/download/SetupSecure_,.exe http://sanchez-lucas.info/main.html http://lee.net/search.php https://www.bradshaw-hays.biz/search.htm https://www.jackson-delacruz.com/ https://scott.com/search.php http://chang.com/app/explore/list/author.jsp https://castro.com/tags/list/search.htm https://www.griffin-jones.com/ https://medina.com/tags/explore/main/about.php https://hudson-bolton.biz/tags/list/main/index.php https://smith-duncan.com/login/ http://moore.com/register/ http://www.larsen.com/home/ https://www.reeve"
7,malicious,B4DC8DD9-2CC1-4081-9B2B-20D7030234EF d32cccff-553f-4dd1-8e11-f1280138ef2d b4b2d218-f583-485e-b4c4-e507516c90c7 384a530d-90fa-432f-ab1b-84ab41c2d78b d1d78525-926b-442c-931c-c21019c2f906 4ca0ec52-de4a-4e70-8bec-4e00ce597ba6 6a9ccdac-861e-487f-ba40-cf129a008456 59b9bd0f-8a1d-4f8a-8270-1ddd6f123af5 f7396178-5653-47bf-90bb-7cce52cf1ecb ca5b79cf-b60f-4e81-8f53-583c787bdde0 931da198-11f8-4e22-8f5d-e63c13ab8ef7 a79bb962-50fe-4bc7-9d42-fbed1a81a4f7 75e2ddbf-dfcf-4b7b-9a57-f0748ffea56a 0c4ba4be-d5ff-4433-80ea-4321142
8,malicious,"GET,HTTP/1.0 https://nichols.com/category/blog/search/ http://www.cochran-powell.info/category/app/tags/post/ http://www.frank-collins.com/homepage/ http://dunlap.com/author.html http://bridges-dunn.biz/register/ https://www.mcclure.com/ http://schmidt.com/terms/ http://www.parsons.org/main/search.php https://holt-white.net/main/ http://davis.info/ https://elliott-trujillo.com/privacy/ http://frank.com/login/ https://fleming.com/search/app/tags/terms.html https://www.green.com/ http://klein.com/login/ http:"
9,malicious,&first& positive option safe win garden late mean little else amount a guy mouth exist visit buy put level really food network finish unit medical business conference almost girl call still threat stop something half ask official career heavy sense however increase who picture teach article newspaper these act idea set will they few effort real black white generation left keep heavy card police expert successful close company skill suddenly situation watch use general item research might stuff protect kid b
